module,revisions,code
hibernate-core/src/test/java/org/hibernate/test/legacy/FooBarTest.java,5,4441
hibernate-core/src/main/java/org/hibernate/id/enhanced/OptimizerFactory.java,5,68
hibernate-core/src/main/java/org/hibernate/type/descriptor/java/SerializableTypeDescriptor.java,5,109
hibernate-core/src/main/java/org/hibernate/engine/jdbc/spi/JdbcCoordinator.java,5,37
hibernate-core/src/main/java/org/hibernate/internal/util/xml/MappingReader.java,5,306
hibernate-core/src/main/java/org/hibernate/tuple/component/CompositeBasedAssociationAttribute.java,5,135
hibernate-core/src/main/java/org/hibernate/id/IdentityGenerator.java,5,132
hibernate-core/src/main/java/org/hibernate/internal/FilterHelper.java,5,86
hibernate-core/src/main/java/org/hibernate/id/IncrementGenerator.java,5,103
hibernate-core/src/main/java/org/hibernate/type/descriptor/sql/NClobTypeDescriptor.java,5,93
documentation/src/main/docbook/manual/en-US/content/performance.xml,5,1354
hibernate-core/src/main/java/org/hibernate/bytecode/enhance/spi/Enhancer.java,5,789
hibernate-core/src/main/java/org/hibernate/tuple/entity/EntityBasedAssociationAttribute.java,5,134
hibernate-core/src/main/java/org/hibernate/dialect/DerbyDialect.java,5,161
hibernate-core/src/main/java/org/hibernate/mapping/Column.java,5,271
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/collection/DetachedMultipleCollectionChangeTest.java,5,342
hibernate-envers/src/main/java/org/hibernate/envers/configuration/EnversSettings.java,5,23
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/query/QueryRegionImplTestCase.java,5,270
hibernate-core/src/main/java/org/hibernate/engine/jdbc/internal/ResultSetReturnImpl.java,5,120
hibernate-core/src/main/resources/org/hibernate/hibernate-mapping-4.0.xsd,5,1554
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/access/PutFromLoadValidator.java,5,318
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/collection/EnumSet.java,5,74
hibernate-core/src/main/java/org/hibernate/type/descriptor/java/CharacterArrayTypeDescriptor.java,5,98
hibernate-core/src/main/java/org/hibernate/persister/collection/BasicCollectionPersister.java,5,269
hibernate-core/src/main/java/org/hibernate/action/internal/UnresolvedEntityInsertActions.java,5,208
hibernate-entitymanager/src/main/java/org/hibernate/jpa/boot/internal/PersistenceXmlParser.java,5,383
hibernate-core/src/main/java/org/hibernate/criterion/NaturalIdentifier.java,5,35
hibernate-core/src/main/java/org/hibernate/type/ComponentType.java,5,686
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/util/EvictAllCommand.java,5,34
hibernate-core/src/main/java/org/hibernate/hql/internal/ast/tree/FromElementType.java,5,359
hibernate-core/src/main/java/org/hibernate/tool/enhance/EnhancementTask.java,5,123
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/proxy/RemovedObjectQueryTest.java,5,452
hibernate-core/src/test/java/org/hibernate/test/annotations/index/jpa/IndexTest.java,5,34
hibernate-core/src/main/java/org/hibernate/tuple/entity/AbstractEntityTuplizer.java,5,551
hibernate-core/src/test/java/org/hibernate/test/transaction/jta/ManagedDrivingTest.java,5,124
hibernate-core/src/main/java/org/hibernate/action/internal/BulkOperationCleanupAction.java,5,160
hibernate-core/src/test/java/org/hibernate/test/bytecode/enhancement/EnhancerTest.java,5,228
hibernate-core/src/main/java/org/hibernate/dialect/Oracle10gDialect.java,5,30
hibernate-core/src/main/java/org/hibernate/procedure/internal/AbstractParameterRegistrationImpl.java,5,241
buildSrc/build.gradle,5,25
