entity,n-authors,n-revs
hibernate-envers/src/main/java/org/hibernate/envers/query/impl/EntitiesAtRevisionQuery.java,3,6
hibernate-core/src/main/java/org/hibernate/hql/spi/TemporaryTableBulkIdStrategy.java,3,6
hibernate-core/src/main/java/org/hibernate/mapping/Property.java,3,6
hibernate-core/src/main/java/org/hibernate/event/internal/AbstractFlushingEventListener.java,3,6
buildSrc/src/main/groovy/org/hibernate/build/qalab/DatabaseAllocator.groovy,3,6
hibernate-envers/src/main/java/org/hibernate/envers/query/criteria/AggregatedAuditExpression.java,3,6
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/impl/BaseTransactionalDataRegion.java,3,6
hibernate-envers/src/main/java/org/hibernate/envers/strategy/DefaultAuditStrategy.java,3,6
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/collection/CollectionRegionImpl.java,3,6
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/impl/BaseRegion.java,3,6
hibernate-envers/src/main/java/org/hibernate/envers/entities/mapper/relation/AbstractOneToOneMapper.java,3,6
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/entity/EntityRegionImpl.java,3,6
hibernate-ehcache/src/main/java/org/hibernate/cache/ehcache/management/impl/ProviderMBeanRegistrationHelper.java,3,6
hibernate-testing/src/main/java/org/hibernate/testing/junit4/CustomRunner.java,3,6
hibernate-core/src/main/java/org/hibernate/event/internal/EventCache.java,3,6
hibernate-core/src/test/java/org/hibernate/event/internal/EventCacheTest.java,3,6
hibernate-core/src/main/java/org/hibernate/event/internal/DefaultLoadEventListener.java,3,6
hibernate-core/src/main/java/org/hibernate/dialect/Oracle9iDialect.java,3,6
documentation/src/main/docbook/manual/en-US/content/configuration.xml,3,6
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/NodeEnvironment.java,3,6
documentation/src/main/docbook/devguide/en-US/Database_Access.xml,3,6
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/proxy/RemovedObjectQueryTest.java,3,5
hibernate-core/src/main/java/org/hibernate/hql/internal/ast/tree/FromElementType.java,3,5
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/query/QueryRegionImplTestCase.java,3,5
hibernate-core/src/main/java/org/hibernate/hql/internal/ast/tree/IdentNode.java,3,5
hibernate-core/src/main/java/org/hibernate/stat/spi/StatisticsImplementor.java,3,5
hibernate-core/src/main/java/org/hibernate/dialect/Oracle10gDialect.java,3,5
hibernate-envers/src/main/java/org/hibernate/envers/configuration/EnversSettings.java,3,5
hibernate-core/src/main/java/org/hibernate/mapping/Column.java,3,5
hibernate-core/src/main/java/org/hibernate/dialect/SybaseASE15Dialect.java,3,5
hibernate-core/src/main/resources/org/hibernate/hibernate-mapping-4.0.xsd,3,5
hibernate-core/src/main/java/org/hibernate/engine/jdbc/internal/ResultSetReturnImpl.java,3,5
hibernate-core/src/main/java/org/hibernate/type/descriptor/java/CharacterArrayTypeDescriptor.java,3,5
hibernate-core/src/main/java/org/hibernate/engine/spi/CascadingAction.java,3,5
hibernate-core/src/test/java/org/hibernate/test/multitenancy/ConfigurationValidationTest.java,3,5
hibernate-core/src/main/java/org/hibernate/loader/collection/DynamicBatchingCollectionInitializerBuilder.java,3,5
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/tm/HibernateTransactionManagerLookup.java,3,5
documentation/src/main/docbook/manual/en-US/content/performance.xml,3,5
hibernate-core/src/main/java/org/hibernate/type/ComponentType.java,3,5
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/util/EvictAllCommand.java,3,5
documentation/src/main/docbook/manual/en-US/content/events.xml,3,5
hibernate-core/src/main/java/org/hibernate/loader/entity/DynamicBatchingEntityLoaderBuilder.java,3,5
hibernate-ehcache/src/main/java/org/hibernate/cache/ehcache/AbstractEhcacheRegionFactory.java,3,5
hibernate-core/src/main/java/org/hibernate/engine/jdbc/spi/JdbcCoordinator.java,3,5
hibernate-entitymanager/src/main/java/org/hibernate/ejb/metamodel/MetamodelImpl.java,3,5
hibernate-core/src/main/java/org/hibernate/event/internal/DefaultMergeEventListener.java,3,5
hibernate-core/src/main/java/org/hibernate/internal/util/xml/MappingReader.java,3,5
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/access/PutFromLoadValidator.java,3,5
hibernate-core/src/main/java/org/hibernate/id/enhanced/OptimizerFactory.java,3,5
hibernate-ehcache/src/main/java/org/hibernate/cache/ehcache/management/impl/EhcacheHibernateMBeanRegistrationImpl.java,3,5
hibernate-core/src/main/java/org/hibernate/action/internal/UnresolvedEntityInsertActions.java,3,5
hibernate-core/src/main/java/org/hibernate/dialect/function/TemplateRenderer.java,3,5
hibernate-envers/src/main/java/org/hibernate/envers/entities/mapper/relation/OneToOneNotOwningMapper.java,3,5
hibernate-ehcache/hibernate-ehcache.gradle,3,5
hibernate-envers/src/main/java/org/hibernate/envers/event/EnversPostUpdateEventListenerImpl.java,3,5
