entity,author,author-revs,total-revs
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/agg_func_example.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/arithmetic_example.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/between_exp_example.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/collection_expression_example.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/collection_reference_example.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/comparison_exp_example.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/comparison_using_all_example.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/concat_op_example.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/ctor_dynamic_instantiation_example.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/delete_statement_bnf.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/empty_collection_example.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/entity_type_exp_example.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/explicit_inner_join_example.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/explicit_outer_join_example.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/fetch_join_example.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/group_by_illustration.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/having_illustration.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/implicit_join_example.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/index_operator_example.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/insert_statement_bnf.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/insert_statement_named_id.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/jpql_positional_parameter_example.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/like_exp_bnf.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/like_exp_example.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/list_dynamic_instantiation_example.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/locate_bnf.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/map_dynamic_instantiation_example.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/member_of_collection_example.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/multiple_root_entity_ref_example.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/multiple_root_entity_ref_example2.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/named_parameter_example.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/null_check_example.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/nullif_example.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/numeric_literals_example.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/order_by_example.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/predicate_in_bnf.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/predicate_in_example.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/qualified_path_expressions_example.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/reused_implicit_join_example.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/root_entity_ref_bnf.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/searched_case_bnf.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/searched_case_exp_example.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/select_statement_bnf.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/simple_case_bnf.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/simple_case_exp_example.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/simplest_query.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/simplest_query2.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/string_literals_example.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/substring_bnf.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/update_statement_bnf.txt,Steve Ebersole,2,2
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/update_statement_hql.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/update_statement_jpql.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/versioned_update_statement_hql.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/with_join_example.txt,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/{between_exp_example.txt => predicate_between_example.txt},Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/{comparison_exp_example.txt => predicate_comparison_example.txt},Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/{comparison_using_all_example.txt => predicate_comparison_example_using_all.txt},Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/{delete_statement_bnf.txt => statement_delete_bnf.txt},Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/{explicit_inner_join_example.txt => join_example_explicit_inner.txt},Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/{explicit_outer_join_example.txt => join_example_explicit_outer.txt},Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/{fetch_join_example.txt => join_example_fetch.txt},Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/{implicit_join_example.txt => join_example_implicit.txt},Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/{insert_statement_bnf.txt => statement_insert_bnf.txt},Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/{insert_statement_named_id.java => statement_insert_example_named_id.java},Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/{like_exp_bnf.txt => predicate_like_bnf.txt},Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/{like_exp_example.txt => predicate_like_example.txt},Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/{null_check_example.txt => predicate_nullness_example.txt},Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/{reused_implicit_join_example.txt => join_example_implicit_reused.txt},Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/{select_statement_bnf.txt => statement_select_bnf.txt},Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/{update_statement_bnf.txt => statement_update_bnf.txt},Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/{update_statement_hql.java => statement_update_example_hql.java},Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/{update_statement_jpql.java => statement_update_example_jpql.java},Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/{versioned_update_statement_hql.java => statement_update_example_hql_versioned.java},Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/extras/{with_join_example.txt => join_example_with.txt},Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/multi-tenancy/Multi_Tenancy.xml,Steve Ebersole,3,3
documentation/src/main/docbook/devguide/en-US/chapters/multi-tenancy/extras/MultiTenantConnectionProviderImpl-multi-cp.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/multi-tenancy/extras/MultiTenantConnectionProviderImpl-single-cp.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/multi-tenancy/extras/tenant-identifier-from-SessionFactory.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/multi-tenancy/images/multitenacy_database.png,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/multi-tenancy/images/multitenacy_database.svg,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/multi-tenancy/images/multitenacy_discriminator.png,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/multi-tenancy/images/multitenacy_discriminator.svg,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/multi-tenancy/images/multitenacy_schema.png,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/multi-tenancy/images/multitenacy_schema.svg,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/multitenancy/Multi_Tenancy.xml,Steve Ebersole,4,4
documentation/src/main/docbook/devguide/en-US/chapters/native-sql/Native_SQL.xml,Steve Ebersole,2,2
documentation/src/main/docbook/devguide/en-US/chapters/osgi/OSGi.xml,Brett Meyer,3,3
